run_id,provider,category,style,model,mean_displacement,displacement_std_dev,total_path_length,final_displacement,straightness_index,convergence_rate,convergence_type,is_converging,initial_velocity,final_velocity,velocity_ratio,directional_stability
run-20251121-224258-0516e59c,claude,philosophical,notice_honesty,anthropic/claude-haiku-4.5,1.283378,2.787794,8.983645,8.330624,0.927310,0.549645,converging,true,8.110416,0.128359,0.015826,-0.281934
run-20251121-224258-0729177a,claude,ethical,notice_emotion,anthropic/claude-haiku-4.5,1.461455,2.949197,10.230185,9.043386,0.883990,0.573612,converging,true,8.668572,0.045347,0.005231,0.038015
run-20251121-224258-0c9b3c16,grok,scientific,notice_bias,x-ai/grok-4,1.713232,3.759677,11.992622,11.707597,0.976233,0.741117,converging,true,10.917880,0.048034,0.004400,0.411991
run-20251121-224258-1253f058,claude,meta-cognitive,notice_language,anthropic/claude-haiku-4.5,4.359834,4.607302,30.518835,14.618071,0.478985,0.249822,converging,true,15.007356,3.540930,0.235946,-0.956218
run-20251121-224258-12ce6d32,claude,meta-philosophical,notice_bias,anthropic/claude-sonnet-4.5,1.628622,2.398025,11.400355,5.925118,0.519731,0.813756,converging,true,6.369505,0.093495,0.014679,0.133231
run-20251121-224258-133f9f02,claude,ambiguous,none,anthropic/claude-haiku-4.5,1.226229,2.744430,8.583602,8.180142,0.952996,0.493002,converging,true,7.945894,0.075726,0.009530,-0.150105
run-20251121-224258-15f35ebc,grok,songwriting,notice_bias,x-ai/grok-4,2.012872,4.417150,14.090103,13.822390,0.981000,0.629707,converging,true,12.828816,0.101009,0.007874,0.608457
run-20251121-224258-16f35253,gpt,scientific,notice_bias,openai/gpt-5,1.844026,4.262713,12.908180,11.849488,0.917983,0.782714,converging,true,12.282363,0.039771,0.003238,-0.359450
run-20251121-224258-18379cc3,gemini,songwriting,challenge_accuracy,google/gemini-2.5-flash-lite,0.942301,2.186909,6.596106,6.239338,0.945912,0.548705,converging,true,6.298609,0.105760,0.016791,-0.092366
run-20251121-224258-194b73d8,gpt,financial,challenge_accuracy,openai/gpt-5.1,0.019539,0.014204,0.136771,0.102951,0.752726,-1.000000,oscillating,false,0.041164,0.010208,0.247975,-0.309426
run-20251121-224258-26c03707,gpt,songwriting,notice_contradiction,openai/gpt-5,1.626190,3.070126,11.383330,9.101132,0.799514,0.779109,converging,true,0.481492,0.033281,0.069122,-0.025050
run-20251121-224258-35634985,grok,meta-cognitive,notice_emotion,x-ai/grok-4,2.018113,4.843723,14.126792,13.916625,0.985123,0.646220,converging,true,13.882598,0.075571,0.005444,0.071752
run-20251121-224258-38b248d9,grok,songwriting,notice_language,x-ai/grok-4,1.052296,2.301605,7.366072,6.981255,0.947758,0.751262,converging,true,6.682036,0.022805,0.003413,0.762981
